Animal_Age_Group,Animal_Gender,ZMusic_Usage_Period,Z_Device,ZMusic_Plan,ZPremium_Willingness,Preferred_ZPremium,Preferred_ZContent,Fav_ZMusic_Genre,ZMusic_Time_Slot,Z_Mental_Health_Mood,ZMusic_Listening_Frequency,ZMusic_Discovery_Method,ZMusic_Recommendation_Rating,ZPodcast_Listening_Frequency,Fav_ZPodcast_Genre,Preferred_ZPodcast_Format,ZPodcast_Host_Preference,Preferred_ZPodcast_Duration,Z_Life_Satisfaction
20-35,Female,,"Smartphone, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,All,Night,Uplifting and motivational,leisure time,"recommendations, Playlists",5.0,Once a week,Dance and Relevant cases ,Conversational,unknown Podcasters,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,Workout session,Playlists,5.0,Once a week,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Female,,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,,"Relaxation and stress relief, Uplifting and motivational","Office hours, Workout session",Others,5.0,Never,None,Conversational,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4.0,Never,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,,Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,Playlists,3.0,Never,None,None,None,None,Very Dissatisfied
12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,classical,Night,Social gatherings or parties,leisure time,"recommendations, Others",3.0,Never,None,None,None,None,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3.0,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,Study Hours,Playlists,5.0,Rarely,Comedy,Story telling,Both,Both,Satisfied
20-35,Male,,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Office hours, Workout session",recommendations,5.0,Several times a week,Sports,None,,Both,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,,"recommendations, Playlists, Others",3.0,Rarely,Technology,Educational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Wearable devices,,No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Rarely,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",3.0,Once a week,General knowledge ,Story telling,Both,Both,Satisfied
,Female,More than 2 years,,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio",3.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Random ,"recommendations, Others",5.0,Rarely,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session",recommendations,3.0,Never,None,Educational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,Workout session,Playlists,4.0,Rarely,Health and Fitness,Educational,Well known individuals,Longer,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","Playlists, Others",4.0,Rarely,None,Story telling,Both,Both,Ok
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Relaxation and stress relief,Office hours,recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,3.0,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Shorter,Ok
12-20,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",3.0,Once a week,Comedy,Conversational,Both,Both,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",2.0,Never,None,Story telling,None,Shorter,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,,,"recommendations, Playlists",5.0,Daily,Sports,Conversational,Both,,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5.0,Once a week,Lifestyle and Health,Interview,Both,Shorter,Dissatisfied
20-35,Female,More than 2 years,,Free (ad-supported),No,None,Music,Kpop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time",Others,5.0,Rarely,Spiritual and devotional,Story telling,Both,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",recommendations,5.0,Several times a week,None,None,None,Both,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3.0,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",3.0,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3.0,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,Social gatherings or parties,While Traveling,recommendations,4.0,Rarely,Comedy,Conversational,unknown Podcasters,Shorter,Satisfied
20-35,Female,Less than 6 months,,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,4.0,Several times a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Playlists,1.0,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3.0,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,,Afternoon,Sadness or melancholy,While Traveling,Radio,3.0,Once a week,Sports,Interview,Well known individuals,Longer,Ok
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Study Hours,Radio,3.0,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Playlists,2.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,3.0,Once a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,Study Hours,Radio,3.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
12-20,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,5.0,Daily,Health and Fitness,Educational,Well known individuals,Shorter,Very Satisfied
12-20,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,Workout session,Playlists,4.0,Several times a week,,Interview,Well known individuals,Longer,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,Radio,2.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,,Yes,Duo plan- Rs 149/month,Music,classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling, leisure time","Playlists, Others",2.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,,"While Traveling, Workout session, leisure time","Playlists, Radio, Others",2.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
,,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3.0,Several times a week,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Others,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","Playlists, Radio, Others",3.0,Once a week,Sports,Interview,unknown Podcasters,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Playlists, Others",2.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Very Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Others",3.0,Once a week,Sports,Interview,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3.0,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,,Music,classical,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Playlists, Radio",3.0,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
12-20,Female,6 months to 1 year,,Premium (paid subscription),,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Radio, Others",2.0,Several times a week,Health and Fitness,Story telling,Both,Longer,Ok
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Social gatherings or parties,"Study Hours, While Traveling",Radio,3.0,Rarely,Sports,Conversational,unknown Podcasters,Longer,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Afternoon,Sadness or melancholy,While Traveling,"Playlists, Radio",3.0,Once a week,,Story telling,unknown Podcasters,Longer,Ok
35-60,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,Music,classical,Morning,Uplifting and motivational,While Traveling,Radio,,,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
35-60,Female,Less than 6 months,"Smartphone, Computer or laptop",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",2.0,Once a week,Sports,Interview,unknown Podcasters,Longer,Ok
35-60,Female,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Playlists,2.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,Playlists,2.0,Several times a week,Health and Fitness,Story telling,Both,Both,Dissatisfied
12-20,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session",Playlists,3.0,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,classical,Night,Sadness or melancholy,Workout session,Radio,3.0,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
12-20,Female,1 year to 2 years,,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",Radio,3.0,Once a week,Health and Fitness,Interview,Both,Longer,Satisfied
20-35,,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Others,4.0,Rarely,Health and Fitness,None,Both,Shorter,Ok
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Others,3.0,,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy",,Playlists,3.0,Once a week,Health and Fitness,Story telling,,Both,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations,Others, Social media",3.0,Never,Comedy,Conversational,Well known individuals,Longer,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2.0,Several times a week,Lifestyle and Health,Educational,unknown Podcasters,Longer,Dissatisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,classical,Night,Sadness or melancholy,While Traveling,Others,3.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Radio, Others",3.0,Several times a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational",Office hours,recommendations,2.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,Workout session,Radio,2.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,"Office hours, While Traveling, Workout session","recommendations, Radio, Others",2.0,Once a week,Lifestyle and Health,,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session",,4.0,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session","recommendations, Playlists, Radio",3.0,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",Workout session,Radio,2.0,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Others",3.0,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Very Satisfied
20-35,Others,1 year to 2 years,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2.0,Once a week,Sports,Story telling,unknown Podcasters,Longer,Satisfied
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",While Traveling,"Playlists, Radio",3.0,Several times a week,Sports,Story telling,Both,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Melody,Afternoon,Sadness or melancholy,While Traveling,Others,2.0,Once a week,Sports,Conversational,Both,Longer,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,Sadness or melancholy,Workout session,Others,3.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),,Duo plan- Rs 149/month,Music,Rap,Afternoon,,While Traveling,Radio,3.0,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok
12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Sadness or melancholy,While Traveling,Playlists,3.0,Once a week,Sports,Interview,Both,Longer,Ok
12-20,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",Others,3.0,Once a week,Health and Fitness,Educational,unknown Podcasters,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,"Others, Social media",2.0,Rarely,Health and Fitness,Educational,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4.0,Several times a week,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",leisure time,Playlists,3.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists",3.0,Daily,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Sadness or melancholy,,Others,3.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4.0,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Before bed ","recommendations, Playlists",3.0,Never,None,None,None,None,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Never,None,Story telling,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,,No,Individual Plan- Rs 119/ month,Music,Pop,Morning,Uplifting and motivational,,Others,3.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Others",1.0,Rarely,Finance related and current affairs,Story telling,Both,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session",Others,4.0,Never,Food and cooking,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4.0,Rarely,Comedy,None,None,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,Office hours,Playlists,3.0,Rarely,None,Story telling,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4.0,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Uplifting and motivational,leisure time,"Playlists, Others",4.0,Rarely,Lifestyle and Health,Educational,Both,Both,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Workout session,recommendations,4.0,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Radio,3.0,Several times a week,None,None,None,None,Ok
12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling",Others,3.0,Never,None,None,None,None,Ok
,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session",Playlists,3.0,Once a week,Lifestyle and Health,Story telling,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling","recommendations, Playlists, Radio",5.0,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,5.0,Rarely,None,None,None,None,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time","recommendations, Playlists",4.0,Rarely,Murder Mystery ,Story telling,,Both,Ok
